segurado_id;idade;renda_mensal;estado;tipo_seguro;data_contratacao;canal_aquisicao;score_risco;tem_dependentes
40;36;6731,04;RJ;Vida;2024-10-19;Site;5,0;False
41;23;6049,98;SP;Vida;2024-12-31;Site;4,3;False
42;38;4385,06;SP;Auto;2024-05-25;App;3,7;True
43;19;15251,31;SP;Ambos;2024-10-03;Site;3,4;False
44;57;2468,63;PE;Ambos;2024-09-18;App;1,7;True
45;30;34634,91;CE;Auto;2024-01-02;Site;3,6;False
46;44;12260,69;SP;Vida;2024-12-31;App;4,1;True
47;32;2000,0;SP;Vida;2024-05-18;Indicação;2,7;False
48;38;5670,79;GO;Auto;2024-09-23;Site;2,5;True
49;39;5895,93;SP;Vida;2024-10-08;Site;3,3;False
50;26;8728,25;PE;Vida;2024-08-06;Redes Sociais;1,7;False
51;64;3319,05;RJ;Ambos;2024-10-25;App;2,0;True
52;48;6784,65;MG;Vida;2024-12-08;Site;2,4;False
53;59;6094,95;PR;Ambos;2024-05-15;App;1,0;True
54;56;3958,68;SP;Vida;2024-03-03;App;4,1;True
55;41;3591,31;SP;Vida;2024-04-27;Site;2,2;True
56;58;12621,58;SC;Auto;2024-02-15;Redes Sociais;2,6;True
57;22;2023,11;DF;Vida;2024-10-08;Redes Sociais;2,3;True
58;27;9269,78;RS;Ambos;2024-11-14;Redes Sociais;1,5;False
59;20;11594,16;BA;Auto;2024-12-09;Site;3,5;True
60;32;5693,09;PE;Auto;2024-10-23;Site;1,8;False
61;34;6881,98;SP;Auto;2024-04-02;App;1,5;False
62;30;14979,63;RJ;Auto;2024-01-11;App;3,9;True
63;51;4050,53;SP;Ambos;2024-05-15;App;3,0;False
64;33;4353,97;SP;Auto;2024-01-30;App;1,4;True
65;31;4689,88;PR;Ambos;2024-11-30;Indicação;2,0;True
66;39;14998,84;SP;Auto;2024-12-03;Site;2,9;False
67;24;16392,93;SP;Auto;2024-06-01;App;2,9;True
68;49;2497,08;RJ;Vida;2024-07-10;App;3,9;True
69;21;13418,22;SP;Vida;2024-07-06;Indicação;1,9;True
70;67;11769,14;SP;Auto;2024-04-25;App;3,7;False
71;48;19683,11;SP;Vida;2024-06-27;Indicação;2,0;True
72;27;8686,94;BA;Auto;2024-11-24;App;2,7;False
73;18;6431,85;SC;Auto;2024-02-01;Site;3,5;True
74;50;14789,19;BA;Vida;2024-09-02;App;4,4;True
75;45;10820,88;BA;Auto;2024-04-20;Redes Sociais;2,1;False
76;46;31934,07;PE;Auto;2024-10-24;Redes Sociais;3,1;True
77;48;12979,1;SP;Vida;2024-03-28;Indicação;3,6;True
78;21;7387,05;GO;Vida;2024-07-29;Site;2,6;True
79;33;2916,46;MG;Vida;2024-03-22;Site;1,4;False
80;23;4417,63;SP;Auto;2024-12-15;App;2,8;False
81;53;2428,02;RS;Auto;2024-06-23;Site;3,3;False
82;42;5707,04;SP;Vida;2024-04-23;Site;2,7;True
83;32;12685,91;SP;Vida;2024-08-13;Redes Sociais;1,9;True
84;21;6617,22;SP;Vida;2024-02-08;Site;4,0;False
85;32;13564,45;RJ;Auto;2024-09-25;Indicação;2,2;False
86;32;8402,64;BA;Auto;2024-06-18;App;2,8;True
87;46;5003,21;SP;Auto;2024-04-25;Site;3,2;True
88;43;7053,91;PR;Auto;2024-05-30;Redes Sociais;2,9;True
89;55;9232,34;SP;Auto;2024-10-27;Site;3,3;True
90;37;7313,35;RJ;Ambos;2024-10-04;Redes Sociais;3,4;False
91;23;7372,26;SP;Ambos;2024-07-06;App;3,4;False
92;46;3872,54;BA;Auto;2024-01-27;App;2,0;True
93;48;4899,64;CE;Vida;2024-02-21;App;3,2;False
94;40;32238,69;SP;Auto;2024-07-15;Indicação;1,0;True
95;48;15676,63;DF;Auto;2024-05-13;App;2,1;True
96;38;2364,48;PR;Vida;2024-03-07;App;4,2;True
97;38;2000,0;SP;Auto;2024-06-08;App;2,4;True
98;35;6997,69;RJ;Vida;2024-03-14;App;3,2;True
99;19;12399,74;BA;Vida;2024-01-20;Indicação;1,0;True
100;23;4610,27;MG;Vida;2024-09-30;App;2,8;True
101;19;13563,82;MG;Auto;2024-12-03;Site;2,0;True
102;43;6917,14;RJ;Vida;2024-09-14;App;2,7;True
103;32;5918,61;RJ;Ambos;2024-01-13;Redes Sociais;2,3;True
104;38;11263,03;SP;Vida;2024-02-25;App;1,2;True
105;57;4571,91;RS;Vida;2024-06-22;Site;1,2;True
106;30;5427,89;PR;Auto;2024-09-08;Site;4,0;False
107;35;10605,38;SC;Auto;2024-10-29;Site;3,9;True
108;47;6490,03;RS;Vida;2024-11-15;App;1,9;False
109;29;25238,94;SP;Vida;2024-04-17;App;2,7;False
110;21;10782,48;SP;Vida;2024-01-18;App;3,0;True
111;31;10302,79;GO;Auto;2024-02-16;App;4,4;False
112;25;6408,28;RJ;Auto;2024-03-10;Site;3,9;True
113;58;12238,33;MG;Auto;2024-02-09;Redes Sociais;2,4;True
114;49;5293,18;SP;Auto;2024-06-21;Site;2,8;False
115;43;8084,18;SP;Vida;2024-03-07;Indicação;2,8;True
116;54;3493,27;SP;Auto;2024-04-24;App;5,0;False
117;49;13733,71;SC;Ambos;2024-11-09;Site;1,0;True
118;27;8130,87;RS;Auto;2024-04-24;Site;3,6;True
119;55;26575,88;RS;Auto;2024-04-19;App;3,1;False
120;39;35405,02;GO;Ambos;2024-04-30;Site;3,9;False
121;49;11319,97;SP;Auto;2024-12-17;Site;1,5;False
122;56;6959,74;SP;Auto;2024-04-01;Redes Sociais;3,2;False
123;32;3421,23;SP;Auto;2024-06-30;App;4,0;True
124;23;12498,01;RJ;Auto;2024-01-09;Site;2,8;False
125;29;7686,33;BA;Auto;2024-02-03;Site;3,1;True
126;35;9668,46;GO;Vida;2024-02-29;Site;3,1;True
127;50;22266,78;MG;Vida;2024-10-09;App;1,9;False
128;53;3725,3;RS;Ambos;2024-09-06;App;3,1;True
129;18;3473,74;GO;Vida;2024-01-25;Site;3,7;False
130;38;5622,33;RS;Vida;2024-04-15;App;4,1;False
131;35;11788,04;SP;Vida;2024-03-23;App;4,0;True
132;28;9783,05;PR;Vida;2024-09-06;Site;4,3;True
133;23;3544,02;PR;Auto;2024-10-22;Site;2,3;False
134;32;11266,48;RS;Auto;2024-12-04;App;5,0;False
135;59;2861,64;SP;Auto;2024-03-16;Site;5,0;True
136;32;3690,73;RJ;Vida;2024-10-18;App;1,8;False
137;38;6119,16;RJ;Vida;2024-06-01;App;2,8;True
138;45;4503,45;SP;Auto;2024-03-01;App;2,8;True
139;33;12368,42;RJ;Vida;2024-06-28;Indicação;2,8;True
140;64;8106,85;SP;Ambos;2024-05-05;App;2,4;False
141;62;22831,42;RJ;Auto;2024-09-18;App;3,4;True
142;30;5580,15;SP;Auto;2024-01-14;Site;1,5;True
143;38;6090,34;PE;Vida;2024-01-07;App;3,6;True
144;31;15479,44;SP;Ambos;2024-08-05;App;2,8;True
145;31;6225,17;RJ;Auto;2024-06-10;Redes Sociais;3,8;True
146;19;18878,97;SP;Auto;2024-02-05;Site;4,4;True
147;42;9687,38;SP;Auto;2024-04-28;App;1,7;True
148;38;2000,0;RS;Ambos;2024-02-20;App;2,7;True
149;20;15127,95;SP;Vida;2024-03-15;Site;3,6;True
150;31;12567,99;RS;Vida;2024-07-27;Redes Sociais;1,9;False
151;57;12912,26;SP;Vida;2024-04-16;App;2,7;True
152;29;2000,0;RJ;Auto;2024-08-20;Indicação;3,6;True
153;25;4170,98;PR;Vida;2024-06-07;Site;5,0;True
154;37;4393,61;PE;Auto;2024-05-05;App;3,6;True
155;67;3682,01;RJ;Auto;2024-12-03;App;4,0;True
156;29;22456,73;BA;Auto;2024-08-31;Indicação;3,0;True
157;44;6579,82;SC;Auto;2024-07-07;Indicação;2,1;True
158;48;6466,61;SP;Auto;2024-06-02;Site;1,0;True
159;29;9763,5;BA;Ambos;2024-12-08;Redes Sociais;4,1;True
160;46;9882,4;RS;Vida;2024-01-08;Redes Sociais;2,9;False
161;33;2000,0;SP;Auto;2024-05-30;App;2,5;False
162;43;4219,83;PE;Auto;2024-08-10;Site;2,2;True
163;43;2467,72;SP;Vida;2024-01-22;App;2,6;True
164;39;8779,85;RJ;Vida;2024-06-17;Indicação;4,6;False
165;22;5419,59;RJ;Auto;2024-03-21;App;4,3;True
166;51;6706,09;RS;Auto;2024-07-03;Site;2,9;False
167;32;2000,0;RS;Vida;2024-03-31;Site;4,7;False
168;27;5340,65;SP;Ambos;2024-10-13;App;2,6;True
169;19;14480,98;RJ;Auto;2024-09-29;Redes Sociais;4,2;False
170;41;17793,97;SP;Auto;2024-01-17;Site;4,2;True
171;44;10973,13;SP;Auto;2024-04-17;Redes Sociais;2,4;True
172;18;2604,96;BA;Vida;2024-12-19;Site;1,0;True
173;38;16019,81;PR;Vida;2024-12-20;Indicação;2,6;False
174;29;11012,67;RJ;Vida;2024-09-23;Indicação;3,6;True
175;43;6111,75;SP;Vida;2024-07-30;Site;3,6;False
176;26;2000,0;RJ;Ambos;2024-02-29;App;1,1;False
177;45;12932,73;SP;Vida;2024-01-04;Redes Sociais;3,5;True
178;34;4382,98;SC;Vida;2024-02-27;Indicação;1,8;True
179;59;8453,33;SP;Auto;2024-11-23;App;4,2;False
180;24;6959,59;RJ;Ambos;2024-08-31;App;3,0;True
181;33;19474,8;MG;Vida;2024-12-21;App;4,6;True
182;23;6076,86;DF;Auto;2024-02-05;App;3,0;False
183;58;6564,43;SP;Vida;2024-10-25;App;3,2;False
184;54;20030,89;SP;Vida;2024-03-23;App;1,5;False
185;30;4184,93;DF;Auto;2024-10-02;App;3,4;False
186;44;11731,42;RJ;Vida;2024-01-05;Redes Sociais;4,6;False
187;50;5773,13;PR;Ambos;2024-08-29;Site;5,0;True
188;40;3288,61;SC;Ambos;2024-12-07;Indicação;4,2;False
189;39;6639,64;SP;Auto;2024-01-26;App;2,9;True
190;29;10766,49;SP;Vida;2024-06-26;Site;2,0;True
191;22;17113,05;SP;Vida;2024-03-14;Site;2,5;True
192;56;18625,48;PR;Auto;2024-03-28;App;3,6;False
193;56;5397,36;BA;Vida;2024-02-21;App;1,7;True
194;43;3324,0;RS;Auto;2024-08-15;App;4,0;True
195;32;5307,53;RJ;Vida;2024-03-01;App;3,7;True
196;33;2901,34;SP;Auto;2024-04-28;App;1,6;True
197;46;5697,77;RJ;Vida;2024-03-29;App;3,8;False
198;56;5223,04;GO;Vida;2024-08-21;Redes Sociais;4,0;True
199;55;11039,59;BA;Auto;2024-01-15;Site;4,6;True
200;48;2000,0;SP;Auto;2024-12-24;Site;3,1;True
201;43;3969,81;SP;Auto;2024-06-29;Site;2,4;False
202;22;3992,36;SC;Vida;2024-08-23;Site;2,3;True
203;25;15229,49;RJ;Vida;2024-05-23;Site;3,2;False
204;56;3042,12;MG;Vida;2024-10-29;Indicação;1,2;True
205;42;7774,93;RJ;Auto;2024-03-04;App;3,7;True
206;18;6065,12;SP;Vida;2024-07-20;App;3,4;False
207;22;13768,38;SP;Ambos;2024-07-16;App;1,6;True
208;44;10067,65;SP;Auto;2024-08-25;App;4,4;True
209;18;7221,88;SP;Ambos;2024-04-17;App;3,8;True
210;25;4499,55;SP;Ambos;2024-09-06;Indicação;2,6;False
211;39;2000,0;SP;Auto;2024-04-20;App;1,1;False
212;45;7886,91;SP;Auto;2024-07-07;Indicação;4,4;True
213;43;9617,53;SP;Auto;2024-02-14;Site;1,0;True
214;28;2203,04;SP;Vida;2024-02-18;App;3,2;False
215;46;2797,31;MG;Auto;2024-04-11;Redes Sociais;3,8;True
216;29;7915,92;PE;Auto;2024-05-26;Indicação;4,3;True
217;32;8411,87;SP;Vida;2024-03-27;Site;3,6;True
218;47;3316,11;SP;Auto;2024-04-16;Indicação;2,7;False
219;43;4438,87;RJ;Ambos;2024-04-18;App;5,0;False
220;52;2000,0;SC;Auto;2024-05-13;App;4,1;True
221;44;17397,55;SP;Auto;2024-06-30;App;3,2;True
222;40;2670,68;SP;Auto;2024-10-30;Site;2,0;True
223;22;9697,09;GO;Auto;2024-02-28;App;5,0;True
224;33;6473,86;SP;Vida;2024-10-16;App;2,2;True
225;30;16361,98;DF;Auto;2024-12-12;Redes Sociais;2,2;False
226;29;3810,14;BA;Vida;2024-01-22;App;3,5;True
227;64;6924,89;RS;Vida;2024-06-11;Site;1,9;False
228;34;2020,5;MG;Auto;2024-07-29;Indicação;5,0;True
229;55;2000,0;SP;Vida;2024-09-14;Site;1,7;True
230;42;10071,18;PR;Ambos;2024-06-20;App;4,1;True
231;49;2000,0;SP;Ambos;2024-01-20;App;1,9;False
232;38;5654,73;RJ;Vida;2024-06-21;Site;2,7;True
233;40;13465,78;SP;Ambos;2024-07-08;App;5,0;True
234;37;11188,92;SP;Auto;2024-07-07;App;4,9;False
235;27;4166,33;MG;Vida;2024-04-06;Site;1,9;True
236;46;2182,11;RJ;Auto;2024-03-21;Indicação;2,3;False
237;31;9477,22;SP;Auto;2024-08-19;Redes Sociais;4,3;True
238;19;16976,41;RJ;Auto;2024-04-14;App;2,6;True
239;43;4173,18;PR;Auto;2024-02-25;Site;1,0;True
240;26;3780,76;RJ;Vida;2024-01-12;Site;3,9;True
241;59;4594,29;MG;Auto;2024-04-23;Site;2,8;True
242;61;9898,38;PR;Vida;2024-03-22;Site;3,9;True
243;57;15677,19;BA;Vida;2024-05-26;Indicação;4,5;False
244;34;2785,76;MG;Auto;2024-02-23;App;4,4;True
245;18;2324,37;PE;Auto;2024-11-20;Site;4,2;False
246;58;34132,23;RJ;Vida;2024-01-21;App;3,2;False
247;35;5859,82;SP;Auto;2024-07-06;App;3,7;True
248;63;7919,04;RS;Vida;2024-07-26;App;3,3;False
249;62;4087,33;SP;Auto;2024-05-13;Site;3,2;False
250;53;9348,52;GO;Auto;2024-11-10;App;2,9;True
251;31;12991,4;RJ;Auto;2024-12-28;Indicação;2,5;True
252;34;8183,35;RS;Auto;2024-03-30;App;3,4;False
253;52;22440,01;MG;Vida;2024-10-05;App;4,0;False
254;32;5277,87;SP;Auto;2024-04-10;App;1,7;True
255;26;5519,17;PR;Ambos;2024-02-23;Indicação;1,8;True
256;40;7800,82;SC;Ambos;2024-04-22;App;3,1;True
257;59;9186,34;DF;Auto;2024-05-07;App;3,2;False
258;45;7781,96;RJ;Ambos;2024-04-30;Site;2,3;True
259;40;2699,74;MG;Auto;2024-01-18;Redes Sociais;5,0;True
260;22;8256,54;BA;Vida;2024-10-24;App;3,7;True
261;42;5105,52;SP;Auto;2024-07-31;Site;1,1;True
262;68;4417,44;SP;Ambos;2024-05-01;Site;2,5;True
263;24;6786,82;SP;Vida;2024-06-24;Indicação;2,9;False
264;38;3384,41;DF;Vida;2024-05-20;App;4,3;False
265;54;2996,58;SP;Ambos;2024-10-10;Site;2,9;False
266;47;2000,0;PR;Auto;2024-09-26;App;2,0;True
267;45;22540,44;RJ;Vida;2024-08-09;App;2,9;False
268;45;9788,97;SP;Auto;2024-04-29;Site;4,1;True
269;33;6113,56;GO;Vida;2024-08-14;Site;3,7;False
270;31;4158,64;RJ;Vida;2024-10-29;Site;3,5;True
271;49;2000,0;MG;Vida;2024-11-04;Indicação;3,1;True
272;49;3983,95;SP;Vida;2024-08-20;App;2,4;False
273;54;10950,13;SP;Auto;2024-06-17;App;2,7;False
274;57;12829,75;PR;Vida;2024-02-09;App;1,0;True
275;38;10400,45;SP;Ambos;2024-01-22;App;4,1;True
276;38;7412,14;MG;Auto;2024-06-11;Site;3,2;True
277;49;16526,36;SP;Vida;2024-08-17;App;2,7;True
278;43;5271,26;BA;Vida;2024-03-17;App;2,8;False
279;45;14180,63;PR;Ambos;2024-01-09;Indicação;3,4;False
280;49;5068,46;PR;Auto;2024-12-01;App;1,0;True
281;55;3580,3;SP;Auto;2024-03-17;App;2,5;True
282;32;3281,32;RJ;Vida;2024-05-25;App;3,9;False
283;34;3149,04;SP;Vida;2024-11-04;Site;1,0;True
284;22;10523,31;SP;Auto;2024-03-13;Site;2,6;True
285;40;3944,5;SP;Auto;2024-05-15;App;2,6;False
286;19;3219,17;GO;Ambos;2024-11-26;Site;3,9;False
287;37;10933,81;ES;Ambos;2024-10-25;App;2,1;True
288;39;8346,35;MG;Vida;2024-05-07;Site;1,0;False
289;31;13014,43;MG;Ambos;2024-04-01;Site;2,0;False
290;41;9497,84;RJ;Ambos;2024-06-08;App;2,3;True
291;19;3915,98;SP;Auto;2024-10-01;Redes Sociais;4,6;False
292;19;6997,24;SC;Vida;2024-09-19;App;4,8;False
293;50;7241,57;RS;Vida;2024-05-31;App;2,8;True
294;33;3486,27;RS;Vida;2024-10-05;App;5,0;True
295;24;3061,81;SC;Vida;2024-05-14;App;2,9;True
296;38;4119,53;PE;Auto;2024-04-13;App;4,3;False
297;48;27601,01;RJ;Ambos;2024-06-16;App;5,0;True
298;28;4969,52;RJ;Auto;2024-12-22;App;4,4;True
299;42;15724,99;DF;Auto;2024-11-30;App;4,0;True
300;22;4778,77;RS;Auto;2024-03-19;Site;2,9;True
301;20;12359,59;BA;Auto;2024-07-18;Site;2,9;False
302;39;12478,27;SP;Auto;2024-07-19;App;1,9;False
303;39;12923,64;SP;Vida;2024-04-10;App;2,5;True
304;43;8703,49;RJ;Auto;2024-08-31;Site;1,6;False
305;46;17398,8;SP;Vida;2024-10-04;App;2,2;False
306;65;8645,96;GO;Vida;2024-05-28;Redes Sociais;1,8;True
307;38;22014,81;MG;Auto;2024-01-14;Site;3,1;True
308;32;2134,65;CE;Auto;2024-01-22;Site;2,5;False
309;49;8465,89;SP;Auto;2024-06-09;Indicação;4,4;False
310;30;8089,53;SP;Auto;2024-03-18;Redes Sociais;2,5;False
311;36;3444,16;SP;Vida;2024-04-23;Redes Sociais;5,0;True
312;21;9953,79;SP;Ambos;2024-09-07;App;3,4;False
313;19;2337,75;RS;Auto;2024-08-01;App;3,9;False
314;62;4196,77;SP;Ambos;2024-08-05;Indicação;3,9;False
315;51;2000,0;RJ;Auto;2024-07-31;App;4,1;True
316;45;19752,56;SC;Vida;2024-05-22;App;3,6;True
317;35;5641,56;SP;Ambos;2024-07-21;App;4,5;True
318;26;30236,92;SP;Ambos;2024-09-24;Indicação;2,1;True
319;25;11638,4;MG;Vida;2024-01-06;Redes Sociais;3,7;True
320;30;9078,54;RS;Vida;2024-02-01;Indicação;1,9;True
321;39;4401,24;GO;Ambos;2024-10-06;App;3,1;True
322;46;3189,29;RS;Vida;2024-09-03;Indicação;3,4;True
323;44;9567,05;PE;Auto;2024-05-24;App;3,0;True
324;31;6310,31;SP;Vida;2024-09-09;Indicação;2,1;True
325;61;2598,04;SP;Auto;2024-04-07;Redes Sociais;5,0;False
326;47;2294,34;BA;Auto;2024-03-28;App;1,8;False
327;39;3391,09;SC;Ambos;2024-06-01;Site;4,9;False
328;42;23734,31;RS;Auto;2024-05-03;Site;3,1;True
329;35;31235,0;MG;Vida;2024-11-14;Site;2,8;False
330;30;7657,89;SP;Auto;2024-10-05;App;2,3;True
331;33;7363,27;SP;Vida;2024-03-26;Site;2,6;False
332;47;5242,62;SP;Auto;2024-06-21;Site;1,7;True
333;18;3449,07;SP;Auto;2024-03-16;App;1,9;False
334;23;17372,18;SC;Vida;2024-12-02;Site;3,0;True
335;20;24624,66;SP;Auto;2024-05-04;App;2,9;True
336;19;3549,66;RJ;Vida;2024-01-27;Site;4,3;True
337;53;6260,49;DF;Ambos;2024-10-27;Indicação;3,0;False
338;45;4842,05;RJ;Vida;2024-01-01;Redes Sociais;4,8;False
339;37;4943,52;SP;Auto;2024-02-06;Site;3,1;False
340;22;15216,5;RS;Auto;2024-08-31;Site;2,8;True
341;37;2648,18;SC;Auto;2024-04-27;App;1,0;True
342;37;9196,05;SP;Auto;2024-10-29;App;2,9;False
343;26;11045,37;SC;Vida;2024-10-04;App;4,5;False
344;36;6005,88;SP;Auto;2024-12-24;App;5,0;True
345;34;12396,23;RS;Auto;2024-09-28;Redes Sociais;3,0;True
346;42;7356,62;SP;Vida;2024-09-23;App;3,8;True
347;43;15552,72;RJ;Vida;2024-06-01;Site;4,1;True
348;20;2285,77;MG;Auto;2024-09-29;App;1,7;True
349;34;5197,11;PR;Auto;2024-12-10;App;3,0;False
350;42;6308,99;RS;Vida;2024-03-24;Indicação;3,2;True
351;38;2000,0;BA;Auto;2024-09-27;Site;4,5;True
352;53;3102,1;SP;Vida;2024-01-07;App;4,9;False
353;44;3753,64;RS;Vida;2024-12-10;Site;2,7;True
354;25;12884,03;SP;Auto;2024-01-15;App;2,2;False
355;21;4044,89;RJ;Auto;2024-04-29;Site;3,4;True
356;43;3741,88;MG;Vida;2024-09-22;App;4,5;True
357;19;11757,42;SP;Ambos;2024-05-12;Indicação;4,3;True
358;41;2137,65;SP;Vida;2024-12-02;Site;4,1;False
359;59;2000,0;BA;Vida;2024-05-13;Site;3,9;True
360;40;5150,69;SP;Ambos;2024-05-10;App;4,9;False
361;34;2408,13;SP;Vida;2024-01-31;Site;3,9;True
362;43;2473,09;RS;Ambos;2024-10-25;Redes Sociais;3,5;False
363;36;9911,03;SP;Auto;2024-11-23;App;5,0;True
364;39;12248,78;SP;Auto;2024-06-09;Site;2,2;False
365;59;11524,21;RJ;Auto;2024-10-05;App;3,0;True
366;34;14416,72;SP;Auto;2024-10-25;Indicação;3,6;True
367;62;15816,26;GO;Auto;2024-09-24;Site;2,3;False
368;56;2000,0;PE;Vida;2024-09-22;Redes Sociais;2,8;True
369;27;9093,26;RJ;Auto;2024-09-25;App;2,2;True
370;21;4579,18;SP;Ambos;2024-08-30;App;3,1;False
371;22;3931,61;RJ;Auto;2024-10-06;App;4,8;False
372;18;9821,12;SP;Vida;2024-10-09;Indicação;3,6;True
373;22;2000,0;RJ;Vida;2024-12-20;App;1,0;False
374;44;2000,0;SP;Vida;2024-10-06;App;4,0;False
375;21;10337,16;PR;Vida;2024-11-06;Site;2,1;True
376;32;9334,29;SP;Vida;2024-01-10;Site;3,7;True
377;52;7300,61;MG;Auto;2024-05-27;Site;2,5;True
378;19;3583,38;SP;Auto;2024-06-21;Site;3,8;False
379;50;11166,58;MG;Ambos;2024-02-21;Redes Sociais;2,6;True
380;31;10680,9;SP;Auto;2024-10-01;Site;3,2;True
381;23;7042,46;PE;Vida;2024-07-26;Site;2,7;False
382;45;2909,9;MG;Vida;2024-03-14;Site;3,1;False
383;42;4926,21;SP;Auto;2024-02-17;App;3,8;True
384;54;11926,09;SP;Auto;2024-03-10;App;4,1;True
385;47;16798,31;SP;Auto;2024-08-25;Site;3,1;True
386;49;5278,64;MG;Vida;2024-06-23;Indicação;4,0;False
387;31;5570,44;SP;Ambos;2024-01-08;Redes Sociais;3,6;True
388;26;5924,3;RJ;Vida;2024-03-24;Redes Sociais;3,6;True
389;47;8041,94;SP;Vida;2024-12-10;Indicação;2,5;False
390;49;4417,16;PR;Auto;2024-01-05;Redes Sociais;1,9;True
391;68;2000,0;RJ;Auto;2024-07-14;Indicação;2,0;True
392;35;15289,76;BA;Auto;2024-08-05;Indicação;3,8;False
393;34;23301,72;PE;Vida;2024-02-04;App;3,0;True
394;48;4321,34;CE;Vida;2024-01-15;App;4,6;True
395;33;3144,29;SP;Vida;2024-04-24;Indicação;3,5;True
396;58;6027,15;PR;Auto;2024-03-15;Indicação;4,2;False
397;53;5818,21;RJ;Auto;2024-06-09;App;4,5;True
398;35;13317,88;RJ;Auto;2024-11-19;App;3,1;True
399;47;6892,9;BA;Auto;2024-11-18;App;1,9;False
400;47;3809,16;SP;Vida;2024-08-11;App;1,8;False
401;23;2636,25;RJ;Auto;2024-10-17;Site;1,4;True
402;56;12160,45;MG;Vida;2024-05-08;Redes Sociais;2,3;True
403;38;10093,61;SP;Auto;2024-04-30;App;4,4;True
404;51;13938,25;BA;Auto;2024-01-18;App;4,2;True
405;32;3368,66;SP;Auto;2024-09-18;Site;2,6;True
406;56;24026,34;RS;Vida;2024-10-01;Site;4,4;True
407;34;2000,0;PE;Vida;2024-06-07;App;3,3;True
408;18;10902,21;PR;Ambos;2024-10-30;Indicação;3,2;True
409;56;2000,0;GO;Auto;2024-02-29;App;5,0;True
410;22;3815,28;SP;Vida;2024-02-25;App;3,6;False
411;32;19785,73;RJ;Auto;2024-06-25;Site;4,0;True
412;60;11872,2;MG;Vida;2024-03-10;Redes Sociais;3,9;True
413;60;4526,23;RS;Auto;2024-12-24;Indicação;5,0;False
414;40;4613,83;SP;Auto;2024-07-14;Site;3,7;False
415;42;7118,38;RS;Vida;2024-04-18;App;3,2;False
416;36;9508,09;SP;Auto;2024-05-19;Indicação;3,1;True
417;31;15932,33;SP;Auto;2024-05-22;Site;2,1;True
418;32;4820,52;RJ;Vida;2024-06-27;App;4,0;True
419;44;2146,84;MG;Auto;2024-01-30;Redes Sociais;2,9;True
420;47;7404,76;CE;Vida;2024-04-12;Indicação;3,8;False
421;49;4816,48;RS;Auto;2024-06-22;App;4,3;True
422;49;2669,26;MG;Vida;2024-10-24;App;4,4;False
423;22;8171,18;SP;Vida;2024-06-15;Indicação;4,9;False
424;38;5714,83;SP;Vida;2024-09-20;App;3,7;True
